time,open,high,low,close,volume,support,resistance,sma_20,signal,sl,tp,position_open,position_price,position_sl,position_tp
1970-01-01 00:00:01.750825500,101030.0174,101149.5803,100984.2334,101057.543,165347,100603.2341,101149.5803,100826.87434000001,0,,,False,,,
1970-01-01 00:00:01.750825560,101087.2717,101249.3679,101087.2717,101165.5649,162096,100603.2341,101249.3679,100844.63410499999,1,100974.2334,101185.5649,True,101165.5649,100974.2334,101185.5649
1970-01-01 00:00:01.750825620,101176.7277,101238.2207,101057.0915,101124.545,181129,100603.2341,101249.3679,100863.39996000001,0,,,True,101165.5649,100974.2334,101185.5649
1970-01-01 00:00:01.750825680,101116.774,101266.3593,101116.774,101266.3593,149585,100603.2341,101266.3593,100893.668005,1,101047.0915,101286.3593,True,101266.3593,101047.0915,101286.3593
1970-01-01 00:00:01.750825740,101295.6731,101412.2803,101293.6635,101382.1761,118617,100609.6654,101412.2803,100926.337215,1,101106.774,101402.1761,True,101382.1761,101106.774,101402.1761
1970-01-01 00:00:01.750825800,101359.5723,101359.5723,101224.0538,101253.2189,135519,100609.6654,101412.2803,100950.942605,0,,,True,101382.1761,101106.774,101402.1761
1970-01-01 00:00:01.750825860,101255.3521,101378.485,101239.7034,101311.6251,138782,100629.1127,101412.2803,100982.35173000001,0,,,True,101382.1761,101106.774,101402.1761
1970-01-01 00:00:01.750825920,101319.2719,101333.3402,101171.2407,101280.8371,162100,100635.1079,101412.2803,101010.85784,0,,,True,101382.1761,101106.774,101402.1761
1970-01-01 00:00:01.750825980,101261.6549,101291.0297,101142.3417,101166.1245,148688,100683.0117,101412.2803,101033.04388,0,,,True,101382.1761,101106.774,101402.1761
1970-01-01 00:00:01.750826040,101174.4724,101264.7354,101123.1212,101229.4316,141614,100768.4298,101412.2803,101052.83441000001,0,,,True,101382.1761,101106.774,101402.1761
1970-01-01 00:00:01.750826100,101253.7041,101273.1017,101180.5364,101269.3047,92565,100768.4298,101412.2803,101073.03558,0,,,True,101382.1761,101106.774,101402.1761
1970-01-01 00:00:01.750826160,101278.9668,101310.6342,101153.1318,101204.1094,157502,100768.4298,101412.2803,101087.24578,0,,,True,101382.1761,101106.774,101402.1761
1970-01-01 00:00:01.750826220,101207.3819,101207.3819,101045.8932,101118.6957,161489,100768.4298,101412.2803,101100.21568,0,,,True,101382.1761,101106.774,101402.1761
1970-01-01 00:00:01.750826280,101091.965,101173.0231,101075.1134,101124.9315,97910,100768.4298,101412.2803,101113.843955,0,,,True,101382.1761,101106.774,101402.1761
1970-01-01 00:00:01.750826340,101106.865,101173.0563,101066.4844,101102.156,106572,100768.4298,101412.2803,101126.798965,0,,,False,,,
1970-01-01 00:00:01.750826400,101139.3129,101307.2738,101126.9099,101307.2738,180364,100768.4298,101412.2803,101150.39294,0,,,False,,,
1970-01-01 00:00:01.750826460,101324.9877,101374.4862,101245.746,101268.1856,128740,100768.4298,101412.2803,101168.927985,0,,,False,,,
1970-01-01 00:00:01.750826520,101277.346,101281.4382,101136.9587,101226.8524,144480,100805.8717,101412.2803,101187.689455,0,,,False,,,
1970-01-01 00:00:01.750826580,101219.7053,101219.7053,101012.9151,101079.5669,206790,100854.2109,101412.2803,101198.471105,0,,,False,,,
1970-01-01 00:00:01.750826640,101105.9796,101248.9014,101082.6163,101237.0583,166285,100984.2334,101412.2803,101208.77799,0,,,False,,,
1970-01-01 00:00:01.750826700,101255.4742,101381.9252,101255.4742,101381.9252,126451,101012.9151,101412.2803,101224.99710000001,0,,,False,,,
1970-01-01 00:00:01.750826760,101373.3655,101373.3655,101287.1555,101299.2072,86210,101012.9151,101412.2803,101231.679215,0,,,False,,,
1970-01-01 00:00:01.750826820,101327.5069,101388.3335,101282.1562,101376.7949,106177,101012.9151,101412.2803,101244.29170999999,0,,,False,,,
1970-01-01 00:00:01.750826880,101395.1341,101514.3331,101371.6553,101459.9979,142678,101012.9151,101514.3331,101253.97364000001,1,101272.1562,101479.9979,True,101459.9979,101272.1562,101479.9979
1970-01-01 00:00:01.750826940,101445.845,101445.845,101243.0499,101248.7632,202795,101012.9151,101514.3331,101247.302995,0,,,False,,,
1970-01-01 00:00:01.750827000,101235.9461,101387.2357,101215.8539,101375.6868,171382,101012.9151,101514.3331,101253.42639000001,0,,,False,,,
1970-01-01 00:00:01.750827060,101383.9494,101407.2229,101305.5447,101325.8189,101678,101012.9151,101514.3331,101254.13608,0,,,False,,,
1970-01-01 00:00:01.750827120,101287.8244,101386.2031,101262.7598,101349.0847,123443,101012.9151,101514.3331,101257.54846,0,,,False,,,
1970-01-01 00:00:01.750827180,101336.0961,101376.2571,101222.2345,101351.6736,154023,101012.9151,101514.3331,101266.825915,0,,,False,,,
1970-01-01 00:00:01.750827240,101358.176,101429.6715,101287.7917,101399.201,141880,101012.9151,101514.3331,101275.314385,0,,,False,,,
1970-01-01 00:00:01.750827300,101376.6058,101426.2067,101284.1596,101292.035,142047,101012.9151,101514.3331,101276.4509,0,,,False,,,
1970-01-01 00:00:01.750827360,101300.928,101353.7961,101248.5444,101273.2928,105252,101012.9151,101514.3331,101279.91007,0,,,False,,,
1970-01-01 00:00:01.750827420,101284.2661,101383.7171,101248.7648,101370.7216,134952,101012.9151,101514.3331,101292.511365,0,,,False,,,
1970-01-01 00:00:01.750827480,101402.7503,101461.033,101341.4254,101356.2151,119608,101012.9151,101514.3331,101304.075545,0,,,False,,,
1970-01-01 00:00:01.750827540,101342.2211,101385.7158,101284.2216,101315.2743,101494,101012.9151,101514.3331,101314.73146000001,0,,,False,,,
1970-01-01 00:00:01.750827600,101326.8024,101326.8024,101216.0921,101265.5618,110710,101012.9151,101514.3331,101312.64586,0,,,False,,,
1970-01-01 00:00:01.750827660,101270.525,101322.0339,101203.1424,101305.8837,118891,101012.9151,101514.3331,101314.530765,0,,,False,,,
1970-01-01 00:00:01.750827720,101317.0639,101439.8155,101292.3595,101348.5973,147456,101012.9151,101514.3331,101320.61801,0,,,False,,,
1970-01-01 00:00:01.750827780,101361.458,101380.9798,101277.6262,101335.9505,103354,101082.6163,101514.3331,101333.43719,0,,,False,,,
1970-01-01 00:00:01.750827840,101327.0899,101362.0486,101206.188,101224.5311,155861,101203.1424,101514.3331,101332.81083,0,,,False,,,
1970-01-01 00:00:01.750827900,101229.9949,101360.1418,101229.9949,101305.3475,130147,101203.1424,101514.3331,101328.98194499999,0,,,False,,,
1970-01-01 00:00:01.750827960,101323.1701,101424.9709,101323.1701,101324.1552,101801,101203.1424,101514.3331,101330.229345,0,,,False,,,
1970-01-01 00:00:01.750828020,101322.3884,101370.7518,101220.7933,101220.7933,149958,101203.1424,101514.3331,101322.429265,0,,,False,,,
1970-01-01 00:00:01.750828080,101196.6817,101225.0906,101051.9996,101055.1289,173091,101051.9996,101461.033,101302.185815,-1,101380.7518,101035.1289,True,101055.1289,101380.7518,101035.1289
1970-01-01 00:00:01.750828140,101042.1683,101209.7901,101034.5241,101123.9272,175266,101034.5241,101461.033,101295.944015,0,,,False,,,
1970-01-01 00:00:01.750828200,101123.2255,101247.1802,101078.7054,101240.7943,168475,101034.5241,101461.033,101289.19939,0,,,False,,,
1970-01-01 00:00:01.750828260,101228.0176,101370.3514,101221.0951,101221.0951,149256,101034.5241,101461.033,101283.9632,0,,,False,,,
1970-01-01 00:00:01.750828320,101219.9235,101261.6146,101164.3168,101206.0976,97298,101034.5241,101461.033,101276.813845,0,,,False,,,
1970-01-01 00:00:01.750828380,101192.2685,101266.1977,101140.6948,101140.6948,125503,101034.5241,101461.033,101266.264905,0,,,False,,,
1970-01-01 00:00:01.750828440,101150.2763,101237.1085,101142.9887,101179.1435,94120,101034.5241,101461.033,101255.26203,0,,,False,,,
1970-01-01 00:00:01.750828500,101185.8953,101221.1183,101150.9048,101194.6168,70213,101034.5241,101461.033,101250.39112,0,,,False,,,
1970-01-01 00:00:01.750828560,101199.7614,101234.8432,101159.6504,101226.533,75193,101034.5241,101461.033,101248.05313,0,,,False,,,
1970-01-01 00:00:01.750828620,101222.8944,101222.8944,101008.0092,101038.6023,214885,101008.0092,101461.033,101231.44716499999,0,,,False,,,
